word,cefr,current_sentence_count
unprecedented,C1,0
unpunished,C1,0
unquantifiable,C1,0
unrealistically,C1,0
unspoiled,C1,0
unspoken,C1,0
unstick,C1,0
unveil,C1,0
unwanted,C1,0
upcoming,C1,0
uproot,C1,0
upward,C1,0
urbanization,C1,0
urgency,C1,0
utterly,C1,0
vague,C1,0
validate,C1,0
vanish,C1,0
vessel,C1,0
veteran,C1,0
vibrant,C1,0
vicious,C1,0
viciously,C1,0
victimize,C1,0
villager,C1,0
virtue,C1,0
vocalization,C1,0
vocational,C1,0
vow,C1,0
vulnerable,C1,0
ward,C1,0
warehouse,C1,0
warrior,C1,0
weave,C1,0
whilst,C1,0
wholly,C1,0
wipe,C1,0
wisely,C1,0
wit,C1,0
wordlessly,C1,0
workout,C1,0
worsen,C1,0
worship,C1,0
worshipper,C1,0
worthwhile,C1,0
yachtsman,C1,0
yell,C1,0
yield,C1,0
youngster,C1,0
zoological,C1,0
